company_name,Last Traded Price,pct_change,absolute_change,volume,buy_price,sell_price,buy_qty,sell_qty
Oil India,405.05,1.3,5.2,1,551,480,405.05,0
Ola Electric,34.38,9.98,3.12,252,313,288,34.38,0
Olectra Greente,1,175.3,3.64,41.3,372,214,1,175.3
One 97 Paytm,1,336,3.88,49.9,7,311,327,1
Oracle Fin Serv,7,823.5,2.1,161,102,445,0,7
Page Industries,35,745,0.14,50,41,521,35,745
Patanjali Foods,559.4,1.65,9.1,1,887,14,0,559.4
PB Fintech,1,888.9,2.97,54.5,1,282,293,1
PCBL Chemical,307.1,-0.84,-2.6,928,817,307.1,0,419
Persistent,6,358,0.63,39.5,261,141,6,358
Petronet LNG,273.85,1.88,5.05,2,108,474,0,273.85
Pfizer,5,97.6,-0.06,-3.1,19,33,0,5
PG Electroplast,582,2.76,15.65,1,478,823,0,582
Phoenix Mills,1,831.3,1.85,33.3,462,926,1,831.3
PI Industries,3,249.6,1.11,35.8,239,968,3,249.6
Piramal Enter,1,124.6,0,0,0,1,124.6,1
Piramal Pharma,171.28,2.86,4.76,3,929,834,171.28,0
PNB Housing Fin,927.8,3.53,31.65,2,275,95,0,927.8
PNC Infratech,253.21,2.25,5.56,148,414,253.21,0,34
Poly Medicure,1,810.3,0.75,13.5,131,334,0,1
Polycab,7,439,4.79,340,630,329,0,7
Poonawalla Fin,448.8,1.08,4.8,658,856,0,448.8,0
Praj Industries,343.2,1.16,3.95,1,448,696,0,343.2
Premier Energie,885.55,-1.02,-9.15,1,897,381,0,885.55
Prestige Estate,1,624.1,1.49,23.9,413,389,0,1
PTC Industries,17,492,3.44,581,28,778,0,17
PVR INOX,1,60.4,1.54,16.1,509,296,1,60.4
R R Kabel,1,487,3.97,56.8,755,803,1,487
Radico Khaitan,3,194.9,1,31.5,389,886,3,194.9
Rail Vikas,319.15,4.31,13.2,5,25,216,0,319.15
Railtel,333.3,2.22,7.25,722,993,333.3,0,4
Rainbow Child,1,317.8,-0.48,-6.3,63,620,0,1
RamkrishnaForge,477.95,-0.08,-0.4,330,564,477.95,0,547
Rashtriya Chem,138.6,0.66,0.91,724,170,138.6,0,4
Rattanindia Ent,41.35,3.09,1.24,5,875,415,41.35,0
Raymond,424.85,-0.2,-0.85,249,135,0,424.85,0
Raymond Life,1,62,4.84,49,95,134,0,1
RBL Bank,300.25,0.5,1.5,2,456,528,0,300.25
Redington,272.2,1.17,3.15,1,344,398,272.2,0
Reliance Power,38.56,2.06,0.78,52,165,113,0,38.56
RHI Magnesita,456.75,4.52,19.75,382,92,0,456.75,0
RITES,226.55,1.75,3.89,271,775,226.55,0,683
Route,719.9,-1.37,-10,564,725,719.9,0,1
Sagility,52,2.08,1.06,58,691,952,52,0
Sai Life Sci,917.6,4.68,41.05,625,259,917.6,0,1
Sammaan Capital,145.05,1.09,1.57,8,361,531,0,145.05
Sapphire Foods,230.64,2.2,4.96,1,851,297,230.64,0
Sarda Energy,510.45,-0.21,-1.05,392,155,510.45,0,35
Saregama India,348.2,-0.34,-1.2,452,234,348.2,0,202
SBFC Finance,103.63,0.28,0.29,936,296,103.63,0,278
SBI Card,870.3,2.61,22.15,1,516,944,870.3,0
Schaeffler Ind,3,839.8,1.23,46.5,39,558,3,839.8
Schneider Infra,726.6,3.84,26.85,255,872,726.6,0,1
